FIND,REPLACE
activityId,ID
activityName,L1_Activity
startTimeLocal,Date_Time
distance,Distance_Meters
duration,Duration_Seconds
elevationGain,Elevation_Gain
elevationLoss,Elevation_loss
averageSpeed,Speed_Meters_per_Second
maxSpeed,Max_Speed_Meters_per_Second
startLatitude,Latitude
startLongitude,Longitude
calories,Calories
averageHR,HR_Avg
maxHR,HR_Max
averageRunningCadenceInStepsPerMinute,Cadence_Run
averageBikingCadenceInRevPerMinute,Cadence_Bike
averageSwimCadenceInStrokesPerMinute,Cadence_Swim
averageSwolf,Swolf
avgPower,Bike_Power_Avg
maxPower,Bike_Power_Max
aerobicTrainingEffect,Training_Effect_Aerobic
anTraining_Effect_Aerobic,Training_Effect_Anaerobic
strokes,Swim_Strokes
normPower,Bike_Power_Norm
max20MinPower,Bike_Power_20MinMax
vO2MaxValue,vO2_Max
lactateThresholdBpm,Run_Lactate_Threshold_HR
lactateThresholdSpeed,Run_Lactate_Threshold_Speed
avgStrokeDistance,Swim_Avg_Stroke_Distance
avgStrokes,Swim_Avg_Strokes
deviceId,DeviceID
minTemperature,Temperature_Min
maxTemperature,Temperature_Max
minElevation,Elevation_Min
maxElevation,Elevation_Max
maxAvgPower_1,Bike_Power_1_Sec_Max
maxAvgPower_2,Bike_Power_2_Sec_Max
maxAvgPower_5,Bike_Power_5_Sec_Max
maxAvgPower_10,Bike_Power_10_Sec_Max
maxAvgPower_20,Bike_Power_20_Sec_Max
maxAvgPower_30,Bike_Power_30_Sec_Max
maxAvgPower_60,Bike_Power_1_Min_Max
maxAvgPower_120,Bike_Power_2_Min_Max
maxAvgPower_300,Bike_Power_5_Min_Max
maxAvgPower_600,Bike_Power_10_Min_Max
maxAvgPower_1200,Bike_Power_20_Min_Max
maxAvgPower_1800,Bike_Power_30_Min_Max
maxAvgPower_3600,Bike_Power_1_Hour_Max
maxAvgPower_7200,Bike_Power_2_Hour_Max
Training_Effect_AerobicMessage,Training_Effect_Aerobic_Message
Training_Effect_AnaerobicMessage,Training_Effect_Anaerobic_Message